ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
147,The Patriot,2000,18.0,7.2,1,1,0,0,Roland Emmerich,0
148,Babel,2006,18.0,7.4,1,0,0,0,Alejandro G. Iñárritu,0
149,The Square,2013,,8.1,1,1,1,0,Ruben Östlund,0
150,Gerald's Game,2017,18.0,6.6,1,0,0,0,Mike Flanagan,0
151,Miracle,2004,7.0,7.5,1,0,0,1,Gavin O'Connor,0
152,Swades,2004,7.0,8.2,1,0,0,0,Ashutosh Gowariker,0
153,Tinker Tailor Soldier Spy,2011,18.0,7.1,1,0,0,0,Tomas Alfredson,0
154,The Witch,2015,18.0,6.9,1,0,0,0,Robert Eggers,0
155,Haider,2014,13.0,8.1,1,0,0,0,Vishal Bhardwaj,0
156,Padman,2018,13.0,7.9,1,0,0,0,R. Balki,0
157,Hush,2016,18.0,6.6,1,0,0,0,Mike Flanagan,0
158,Elizabeth,1998,18.0,7.4,1,0,0,0,Shekhar Kapur,0
159,Miss Americana,2020,18.0,7.4,1,0,0,0,Lana Wilson,0
160,Christopher Robin,2018,7.0,7.3,1,0,0,0,Marc Forster,0
161,I Lost My Body,2019,18.0,7.6,1,0,0,0,Jérémy Clapin,0
162,I Am Mother,2019,13.0,6.7,1,0,0,0,Grant Sputore,0
163,Lupin the Third: The Castle of Cagliostro,1979,7.0,7.7,1,0,0,0,Hayao Miyazaki,0
164,The Autopsy of Jane Doe,2016,18.0,6.8,1,0,0,0,André Øvredal,0
165,Virunga,2014,,8.2,1,0,0,0,Orlando von Einsiedel,0
166,Freedom Writers,2007,13.0,7.5,1,0,1,0,Richard LaGravenese,0
167,The Master,2012,18.0,7.2,1,0,0,0,Paul Thomas Anderson,0
168,A Serious Man,2009,18.0,7.0,1,0,0,0,"Ethan Coen,Joel Coen",0
169,The King,2019,18.0,7.2,1,0,0,0,David Michôd,0
170,The Breadwinner,2017,13.0,7.7,1,0,0,0,Nora Twomey,0
171,The Boy Who Harnessed the Wind,2019,7.0,7.6,1,0,1,0,Chiwetel Ejiofor,0
172,Article 15,2019,,8.3,1,0,0,0,Anubhav Sinha,0
173,The Killing of a Sacred Deer,2017,18.0,7.0,1,0,0,0,Yorgos Lanthimos,0
174,Lawless,2012,18.0,7.3,1,0,0,0,John Hillcoat,0
175,Kabhi Khushi Kabhie Gham,2001,7.0,7.4,1,0,0,0,Karan Johar,0
176,Charlie and the Chocolate Factory,2005,7.0,6.6,1,0,0,0,Tim Burton,0
177,Freaks,2019,18.0,6.7,1,0,0,0,"Zach Lipovsky,Adam B. Stein",0
178,Hannah Gadsby: Nanette,2018,,8.2,1,0,0,0,"Jon Olb,Madeleine Parry",0
179,The Mask of Zorro,1998,13.0,6.7,1,0,0,0,Martin Campbell,0
180,The Natural,1984,7.0,7.5,1,0,0,0,Barry Levinson,0
181,Equilibrium,2002,18.0,7.4,1,0,0,0,Kurt Wimmer,0
182,Arthur Christmas,2011,7.0,7.1,1,0,0,0,"Sarah Smith,Barry Cook",0
183,The Rainmaker,1997,13.0,7.2,1,0,1,0,Francis Ford Coppola,0
184,Winter on Fire: Ukraine's Fight for Freedom,2015,,8.4,1,0,0,0,Evgeny Afineevsky,0
185,Always Be My Maybe,2019,13.0,6.8,1,0,0,0,Nahnatchka Khan,0
186,The Crying Game,1992,18.0,7.2,1,0,0,0,Neil Jordan,0
187,War Horse,2011,13.0,7.2,1,0,0,0,Steven Spielberg,0
188,Shot Caller,2017,18.0,7.3,1,0,0,0,Ric Roman Waugh,0
189,The Invitation,2015,,6.6,1,0,1,0,Karyn Kusama,0
190,A Most Violent Year,2014,18.0,7.0,1,0,0,0,J.C. Chandor,0
191,The Other Guys,2010,13.0,6.6,1,0,0,0,Adam McKay,0
192,Kapoor & Sons,2016,13.0,7.7,1,0,0,0,Shakun Batra,0
193,On Body and Soul,2017,,7.6,1,0,0,0,Ildikó Enyedi,0
194,The Fundamentals of Caring,2016,18.0,7.3,1,0,1,0,Rob Burnett,0
195,Insidious,2010,13.0,6.8,1,0,0,0,James Wan,0
