ID,Title,Year,Age,IMDb,Netflix,Hulu,Prime Video,Disney+,Directors,Type
6730,Nora,2000,18.0,6.0,0,0,1,0,Pat Murphy,0
6731,The Challenger Disaster,2019,,6.5,0,0,1,0,Nathan VonMinden,0
6732,Kaagaz Ke Phool,1959,,8.0,0,0,1,0,Guru Dutt,0
6733,For Grace,2015,,7.3,0,0,1,0,"Mark Helenowski,Kevin Pang",0
6734,Play the Game,2009,13.0,6.4,0,0,1,0,Marc Fienberg,0
6735,Combat Girls,2011,,6.8,0,0,1,0,David Wnendt,0
6736,God of Love,2010,,7.6,0,0,1,0,Luke Matheny,0
6737,Friends (With Benefits),2010,,5.2,0,0,1,0,Gorman Bechard,0
6738,Dakota Skye,2008,18.0,6.6,0,0,1,0,John Humber,0
6739,Bruno,2000,13.0,6.1,0,0,1,0,Larry Charles,0
6740,The Sheik,2014,,7.1,0,0,1,0,George Melford,0
6741,Genius on Hold,2013,7.0,7.0,0,0,1,0,Gregory Marquette,0
6742,Hey Hey It's Esther Blueburger,2008,13.0,6.3,0,0,1,0,Cathy Randall,0
6743,Vice Squad,1953,,6.6,0,0,1,0,Gary Sherman,0
6744,Blueberry,2004,18.0,5.2,0,0,1,0,Jan Kounen,0
6745,The Yellow Wallpaper,2011,,6.8,0,0,1,0,Kourosh Ahari,0
6746,Fine Dead Girls,2002,,7.2,0,0,1,0,Dalibor Matanic,0
6747,Illuminata,1998,18.0,6.1,0,0,1,0,John Turturro,0
6748,The Secret Diaries of Miss Anne Lister,2010,16.0,7.0,0,0,1,0,James Kent,0
6749,Freeway II: Confessions of a Trickbaby,1999,18.0,5.7,0,0,1,0,Matthew Bright,0
6750,Road to Nowhere,2010,18.0,5.4,0,0,1,0,,0
6751,Edie & Thea: A Very Long Engagement,2009,,7.9,0,0,1,0,"Susan Muska,Gréta Olafsdóttir",0
6752,Robot Overlords,2015,13.0,4.6,0,0,1,0,Jon Wright,0
6753,Tower Block,2012,18.0,5.9,0,0,1,0,"David Beton,James Nunn",0
6754,Bait,2000,18.0,5.8,0,0,1,0,Kimble Rendall,0
6755,My Father And The Man In Black,2013,,6.5,0,0,1,0,Jonathan Holiff,0
6756,Firaaq,2009,7.0,7.4,0,0,1,0,Nandita Das,0
6757,The End of Love,2013,,5.9,0,0,1,0,Mark Webber,0
6758,Space Pirate Captain Harlock: Arcadia of My Youth,1982,,7.2,0,0,1,0,Tomoharu Katsumata,0
6759,Sennentuntschi,2010,,6.5,0,0,1,0,Michael Steiner,0
6760,Zenith,2010,,6.4,0,0,1,0,Vladan Nikolic,0
6761,Thamizh Padam,2010,,7.3,0,0,1,0,C.S. Amudhan,0
6762,Girltrash: All Night Long,2014,,6.4,0,0,1,0,Alexandra Kondracke,0
6763,The Last Warrior,2017,7.0,6.5,0,0,1,0,Toa Fraser,0
6764,Buddy,2003,,6.8,0,0,1,0,Caroline Thompson,0
6765,Around the Block,2013,,5.9,0,0,1,0,Sarah Spillane,0
6766,Angry Video Game Nerd: The Movie,2014,,5.6,0,0,1,0,"Kevin Finn,James Rolfe",0
6767,Unraveled,2012,,6.2,0,0,1,0,,0
6768,Everyday People,2004,18.0,6.5,0,0,1,0,Richard Benjamin,0
6769,Robot Carnival,1987,,7.0,0,0,1,0,"Atsuko Fukushima,Hiroyuki Kitakubo,Hiroyuki Kitazume,Kôji Morimoto,Takashi Nakamura,Yasuomi Umetsu,Manabu Ôhashi,Hidetoshi Ômori,Katsuhiro Ôtomo",0
6770,Dead Heat,1988,18.0,6.1,0,0,1,0,Mark Goldblatt,0
6771,The House by the Sea,2017,,6.5,0,0,1,0,Robert Guédiguian,0
6772,Walt Before Mickey,2015,7.0,5.9,0,0,1,0,Khoa Le,0
6773,Bang Bang Baby,2014,16.0,5.0,0,0,1,0,Jeffrey St. Jules,0
6774,Day of Anger,1967,,7.1,0,0,1,0,Tonino Valerii,0
6775,Tilt,2017,,4.9,0,0,1,0,Rudy Durand,0
6776,Final Girl,2015,18.0,4.7,0,0,1,0,Tyler Shields,0
6777,Unforgettable,1996,18.0,6.0,0,0,1,0,,0
6778,Camila,1984,18.0,6.9,0,0,1,0,María Luisa Bemberg,0
6779,Wild Bill,1995,18.0,5.9,0,0,1,0,Walter Hill,0
6780,Falling Overnight,2011,18.0,6.7,0,0,1,0,Conrad Jackson,0
6781,Happiness Continues,2020,,7.5,0,0,1,0,Anthony Mandler,0
6782,Desert Blue,1999,18.0,6.2,0,0,1,0,Morgan J. Freeman,0
6783,Guncrazy,1992,18.0,5.5,0,0,1,0,Tamra Davis,0
6784,The Twilight of the Golds,1996,13.0,6.5,0,0,1,0,Ross Kagan Marks,0
6785,All I See Is You,2017,18.0,5.4,0,0,1,0,Marc Forster,0
6786,Pressure,2015,18.0,5.6,0,0,1,0,Ron Scalpello,0
6787,The Girl,2012,13.0,6.2,0,0,1,0,Julian Jarrold,0
6788,Entertaining Angels - The Dorothy Day Story,1996,13.0,6.1,0,0,1,0,Michael Ray Rhodes,0
6789,Out of the Blue,2002,,7.7,0,0,1,0,Dennis Hopper,0
6790,Hostile Border,2015,18.0,5.4,0,0,1,0,"Michael Dwyer,Kaitlin McLaughlin",0
6791,Sweet Rush,2009,18.0,6.4,0,0,1,0,Andrzej Wajda,0
6792,Maine Pyar Kiya,1989,,7.3,0,0,1,0,Sooraj R. Barjatya,0
6793,The Curiosity of Chance,2006,,6.6,0,0,1,0,Russell P. Marleau,0
6794,Hank and Asha,2014,,6.5,0,0,1,0,James E. Duff,0
6795,Walter,2015,18.0,5.3,0,0,1,0,Anna Mastro,0
6796,The Memphis Belle: A Story of a Flying Fortress,1944,,7.3,0,0,1,0,William Wyler,0
6797,Nostradamus,1994,18.0,5.8,0,0,1,0,Roger Christian,0
6798,Grand Theft Parsons,2004,13.0,6.0,0,0,1,0,David Caffrey,0
6799,Swimfan,2002,13.0,5.1,0,0,1,0,John Polson,0
6800,Kung Fu Elliot,2014,,6.4,0,0,1,0,"Matthew Bauckman,Jaret Belliveau",0
6801,The Million Pound Note,1954,7.0,6.9,0,0,1,0,Ronald Neame,0
6802,Discreet,2017,,4.8,0,0,1,0,Joshua Rous,0
6803,Warm Springs,2005,7.0,7.5,0,0,1,0,Joseph Sargent,0
6804,The Living Wake,2007,13.0,6.3,0,0,1,0,Sol Tryon,0
6805,Businessman,2012,,7.1,0,0,1,0,Stanislaw Mucha,0
6806,In a Year with 13 Moons,1978,,7.5,0,0,1,0,Rainer Werner Fassbinder,0
6807,War on Whistleblowers: Free Press and the National Security State,2013,,7.5,0,0,1,0,Robert Greenwald,0
6808,Breaking & Exiting,2018,,5.6,0,0,1,0,Peter Facinelli,0
6809,The Revival,2017,18.0,5.4,0,0,1,0,Jennifer Gerber,0
6810,The Legend of the Holy Drinker,1988,,7.2,0,0,1,0,Ermanno Olmi,0
6811,Animal,2014,,4.7,0,0,1,0,Luke Greenfield,0
6812,Anguish,2015,18.0,4.5,0,0,1,0,Bigas Luna,0
6813,Bleeding Steel,2017,18.0,5.2,0,0,1,0,Leo Zhang,0
6814,Flytrap,2014,,7.2,0,0,1,0,Stephen David Brooks,0
6815,Christmas Story,2007,7.0,7.0,0,0,1,0,Bob Clark,0
6816,Naked as We Came,2013,,6.2,0,0,1,0,Richard LeMay,0
6817,Duel to the Death,1983,18.0,7.2,0,0,1,0,Siu-Tung Ching,0
6818,Where the Lilies Bloom,1974,7.0,7.2,0,0,1,0,William A. Graham,0
6819,Why We Fight: The Nazis Strike,1943,,7.1,0,0,1,0,"Frank Capra,Anatole Litvak",0
6820,Paris Was a Woman,1996,,7.4,0,0,1,0,Greta Schiller,0
6821,For Ellen,2012,,6.0,0,0,1,0,So Yong Kim,0
6822,The Adventurer: The Curse of the Midas Box,2013,7.0,5.4,0,0,1,0,Jonathan Newman,0
6823,Shot,2017,,5.3,0,0,1,0,Gustavo Hernández,0
6824,Lad: A Yorkshire Story,2013,,7.9,0,0,1,0,Dan Hartley,0
6825,Female Prisoner Scorpion: Beast Stable,1973,,7.0,0,0,1,0,Shun'ya Itô,0
6826,Google and the World Brain,2013,,6.7,0,0,1,0,Ben Lewis,0
6827,Süskind,2012,,6.9,0,0,1,0,Rudolf van den Berg,0
6828,Plastic China,2016,13.0,7.7,0,0,1,0,Jiuliang Wang,0
6829,The Object of Beauty,1991,18.0,5.6,0,0,1,0,Michael Lindsay-Hogg,0
6830,Milton's Secret,2016,7.0,5.8,0,0,1,0,Barnet Bain,0
6831,George Carlin: What Am I Doing in New Jersey?,1988,,8.2,0,0,1,0,"Bruce Gowers,Rocco Urbisci",0
6832,Kill Your Friends,2015,,6.0,0,0,1,0,Owen Harris,0
6833,Betrayed,2018,,5.5,0,0,1,0,William Castle,0
6834,1981,2009,,7.2,0,0,1,0,Ricardo Trogi,0
6835,Sundown,2016,18.0,5.4,0,0,1,0,Fernando Lebrija,0
6836,Kid with the Golden Arm,1979,18.0,7.1,0,0,1,0,,0
6837,Dead or Alive 2: Birds,2000,,6.8,0,0,1,0,Takashi Miike,0
6838,Steven Banks: Home Entertainment Center,1989,,9.3,0,0,1,0,Tom McLoughlin,0
6839,Cut Snake,2015,18.0,5.8,0,0,1,0,Tony Ayres,0
6840,Leon The Pig Farmer,1993,,5.6,0,0,1,0,"Vadim Jean,Gary Sinyor",0
6841,Peter Gabriel: Secret World Live,1993,7.0,8.9,0,0,1,0,François Girard,0
6842,In Pursuit of Honor,1995,13.0,7.2,0,0,1,0,Ridley Scott,0
6843,Tara Road,2005,7.0,6.0,0,0,1,0,Gillies MacKinnon,0
6844,"Inner Worlds, Outer Worlds",2012,,8.6,0,0,1,0,Daniel Schmidt,0
6845,CodeGirl,2015,7.0,6.3,0,0,1,0,Lesley Chilcott,0
6846,Accidentally Engaged,2016,7.0,5.8,0,0,1,0,Letia Clouston,0
6847,England Is Mine,2017,,5.9,0,0,1,0,Mark Gill,0
6848,The Ladies Man,2000,18.0,5.2,0,0,1,0,Reginald Hudlin,0
6849,Life Without Principle,2011,,6.9,0,0,1,0,Johnnie To,0
6850,A Midsummer Night's Dream,2017,,5.5,0,0,1,0,Michael Hoffman,0
6851,Blackball,2003,18.0,5.6,0,0,1,0,Mel Smith,0
6852,Shinjuku Triad Society,1995,18.0,6.7,0,0,1,0,Takashi Miike,0
6853,Adieu Galaxy Express 999,1981,16.0,7.0,0,0,1,0,Rintaro,0
6854,Knockabout,1979,13.0,7.3,0,0,1,0,Sammo Kam-Bo Hung,0
6855,House II: The Second Story,1987,13.0,5.4,0,0,1,0,Ethan Wiley,0
6856,Starstruck,1982,7.0,7.0,0,0,1,1,Michael Grossman,0
6857,Atlas Shrugged: Part II,2012,13.0,5.4,0,0,1,0,John Putch,0
6858,Desert Runners,2013,13.0,7.6,0,0,1,0,Jennifer Steinman Sternin,0
6859,The Frame,2014,,6.7,0,0,1,0,Jamin Winans,0
6860,American Renegades,2017,13.0,5.4,0,0,1,0,Steven Quale,0
6861,Cherry Tree Lane,2010,18.0,4.9,0,0,1,0,Paul Andrew Williams,0
6862,Good,2008,18.0,6.2,0,0,1,0,Vicente Amorim,0
6863,The Duke Is Tops,1938,,5.5,0,0,1,0,"William L. Nolte,Ralph Cooper",0
6864,Vegucated,2011,,7.2,0,0,1,0,Marisa Miller Wolfson,0
6865,Stark Raving Mad,2002,18.0,6.4,0,0,1,0,,0
6866,Attack of the Crab Monsters,1957,,4.9,0,0,1,0,Roger Corman,0
6867,Strangerland,2015,18.0,5.2,0,0,1,0,Kim Farrant,0
6868,Immortal Demon Slayer,2017,,5.8,0,0,1,0,Chi-Kin Kwok,0
6869,Werner Herzog Eats His Shoe,1980,,7.2,0,0,1,0,Les Blank,0
6870,Martyr,2018,18.0,6.3,0,0,1,0,John Mathew Matthan,0
6871,Blood Ransom,2014,18.0,4.6,0,0,1,0,Francis dela Torre,0
6872,Hick,2011,18.0,5.6,0,0,1,0,Derick Martini,0
6873,Eating Out: All You Can Eat,2009,,5.8,0,0,1,0,Glenn Gaylord,0
6874,Mad Cowgirl,2006,,5.4,0,0,1,0,Gregory Hatanaka,0
6875,Muse,2017,,5.4,0,0,1,0,David Cronenberg,0
6876,Nurse.Fighter.Boy,2009,,6.3,0,0,1,0,Charles Officer,0
6877,Hello Guru Prema Kosame,2018,,7.1,0,0,1,0,Trinadha Rao Nakkina,0
6878,Two Acres of Land,1953,,8.4,0,0,1,0,Bimal Roy,0
6879,Small Time,2014,18.0,6.0,0,0,1,0,Joel Surnow,0
6880,Almost an Angel,1990,7.0,5.6,0,0,1,0,John Cornell,0
6881,All Summers End,2017,16.0,6.0,0,0,1,0,Kyle Wilamowski,0
6882,Madonna: Sticky & Sweet Tour,2010,,8.5,0,0,1,0,"Nathan Rissman,Nick Wickham,Steven Klein,Tom Munro",0
6883,Radio Free Albemuth,2010,18.0,5.6,0,0,1,0,John Alan Simon,0
6884,Blood and Chocolate,2007,13.0,5.5,0,0,1,0,Katja von Garnier,0
6885,Our Love Story,2016,,6.8,0,0,1,0,Hyun-ju Lee,0
6886,Mashaal,1984,7.0,7.4,0,0,1,0,Yash Chopra,0
6887,Sabata,1969,13.0,6.8,0,0,1,0,Gianfranco Parolini,0
6888,The Railway Children,2000,,7.3,0,0,1,0,Lionel Jeffries,0
6889,17 Miracles,2011,7.0,6.3,0,0,1,0,T.C. Christensen,0
6890,Bite,2015,,4.9,0,0,1,0,Chad Archibald,0
6891,A Bird of the Air,2011,13.0,6.6,0,0,1,0,Margaret Whitton,0
6892,Fukrey Returns,2017,,6.5,0,0,1,0,Mrighdeep Lamba,0
6893,The Ultimate Life,2013,7.0,5.8,0,0,1,0,Michael Landon Jr.,0
6894,Fanney Khan,2018,,4.5,0,0,1,0,Atul Manjrekar,0
6895,For Pete's Sake,1974,7.0,6.2,0,0,1,0,Peter Yates,0
6896,Coin Locker Girl,2015,,6.7,0,0,1,0,Jun-hee Han,0
6897,Heaven,1987,13.0,6.8,0,0,1,0,Paul Shapiro,0
6898,High Fantasy,2017,13.0,4.5,0,0,1,0,Jenna Cato Bass,0
6899,The Arrested Development Documentary Project,2013,,6.7,0,0,1,0,Jeff Smith,0
6900,Original Gangstas,1996,18.0,5.7,0,0,1,0,"Larry Cohen,Fred Williamson",0
6901,1000 To 1,2014,,7.0,0,0,1,0,Michael Levine,0
6902,Ditto,2000,,7.1,0,0,1,0,Jeong-kwon Kim,0
6903,"Lewis Black: Red, White & Screwed",2006,18.0,7.8,0,0,1,0,Paul Miller,0
6904,Beyond The Sky,2018,,5.8,0,0,1,0,Fulvio Sestito,0
6905,Two Ninas,2000,18.0,6.1,0,0,1,0,Neil Turitz,0
6906,Song One,2015,13.0,5.8,0,0,1,0,Kate Barker-Froyland,0
6907,Day Dreams,1922,,6.9,0,0,1,0,"Edward F. Cline,Buster Keaton",0
6908,Harlequin,1980,7.0,6.2,0,0,1,0,Simon Wincer,0
6909,Marfa Girl,2012,,5.3,0,0,1,0,Larry Clark,0
6910,Higher,2014,7.0,7.7,0,0,1,0,"Jeremy Jones,Steve Jones,Todd Jones",0
6911,Uncertain Terms,2014,,5.8,0,0,1,0,Nathan Silver,0
6912,Kill Chain,2019,18.0,5.0,0,0,1,0,Ken Sanzel,0
6913,The Great Gabbo,1929,,6.1,0,0,1,0,"James Cruze,Erich von Stroheim",0
6914,Redbad,2018,,5.4,0,0,1,0,Roel Reiné,0
6915,"Tad, the Lost Explorer",2012,7.0,5.9,0,0,1,0,Enrique Gato,0
6916,Marius,2013,,6.7,0,0,1,0,Alexander Korda,0
6917,PressPausePlay,2011,,7.5,0,0,1,0,"David Dworsky,Victor Köhler",0
6918,The Hollow Point,2016,18.0,5.4,0,0,1,0,Gonzalo López-Gallego,0
6919,The Homestretch,2014,,6.7,0,0,1,0,H. Bruce Humberstone,0
6920,Michael Jordan: Come Fly with Me,1989,,8.1,0,0,1,0,David Gavant,0
6921,Matango,1963,,6.5,0,0,1,0,Ishirô Honda,0
6922,Masti,2004,18.0,6.2,0,0,1,0,Indra Kumar,0
6923,Reclaiming the Blade,2009,,8.3,0,0,1,0,Daniel McNicoll,0
6924,I Am Secretly An Important Man,2010,,6.6,0,0,1,0,Peter Sillen,0
6925,Go Further,2003,,6.5,0,0,1,0,Ron Mann,0
6926,What Remains,2005,,7.9,0,0,1,0,,0
6927,Gotti,2018,18.0,4.8,0,0,1,0,Kevin Connolly,0
6928,Chalti Ka Naam Gaadi,1958,,8.0,0,0,1,0,Satyen Bose,0
6929,Mary and Martha,2013,7.0,6.9,0,0,1,0,Phillip Noyce,0
6930,Days of Grace,2011,,6.7,0,0,1,0,Everardo Gout,0
6931,"Lipstick & Dynamite, Piss & Vinegar: The First Ladies of Wrestling",2005,,6.9,0,0,1,0,Ruth Leitman,0
6932,George Carlin: Carlin on Campus,1984,,8.1,0,0,1,0,Steven J. Santos,0
6933,Crazy As Hell,2002,18.0,5.9,0,0,1,0,Eriq La Salle,0
6934,Sassy Pants,2012,18.0,6.2,0,0,1,0,Coley Sohn,0
6935,Etoiles: Dancers of the Paris Opera Ballet,2001,,7.2,0,0,1,0,Nils Tavernier,0
6936,Goodbye World,2013,,5.5,0,0,1,0,Denis Henry Hennelly,0
6937,Heart of the Dragon,1985,18.0,6.5,0,0,1,0,"Sammo Kam-Bo Hung,Fruit Chan",0
6938,Kill Me Later,2001,18.0,6.3,0,0,1,0,Dana Lustig,0
6939,Strange Wilderness,2008,18.0,5.3,0,0,1,0,Fred Wolf,0
6940,Mister Rogers: It's You I Like,2018,7.0,8.3,0,0,1,0,John Paulson,0
6941,Chongqing Hot Pot,2016,,6.6,0,0,1,0,Qing Yang,0
6942,Conduct Unbecoming,1975,7.0,6.5,0,0,1,0,Michael Anderson,0
6943,The Evening Star,1996,13.0,5.9,0,0,1,0,Robert Harling,0
6944,Blue Gold: World Water Wars,2008,7.0,7.7,0,0,1,0,Samuel Vartek,0
6945,The Woman in the Fifth,2011,18.0,5.3,0,0,1,0,Pawel Pawlikowski,0
6946,Just Write,1997,13.0,6.3,0,0,1,0,Andrew Gallerani,0
6947,Dirty Ho,1979,18.0,7.1,0,0,1,0,Chia-Liang Liu,0
6948,Class of Nuke 'Em High,1986,18.0,5.7,0,0,1,0,"Richard W. Haines,Lloyd Kaufman",0
6949,A Good Marriage,2014,18.0,5.2,0,0,1,0,Peter Askin,0
6950,Man Vs.,2015,,5.6,0,0,1,0,Adam Massey,0
6951,A Night in Old Mexico,2013,,5.7,0,0,1,0,Emilio Aragón,0
6952,Houdini,2014,16.0,7.4,0,0,1,0,,0
6953,Kabul Express,2006,7.0,6.8,0,0,1,0,Kabir Khan,0
6954,Antboy,2013,7.0,5.2,0,0,1,0,Ask Hasselbalch,0
6955,Home of the Brave,2006,18.0,5.6,0,0,1,0,Irwin Winkler,0
6956,Drunks,1997,18.0,6.4,0,0,1,0,Peter Cohn,0
6957,Cops vs. Thugs,1975,,7.2,0,0,1,0,Kinji Fukasaku,0
6958,Yamadonga,2007,,7.3,0,0,1,0,S.S. Rajamouli,0
6959,Under an Arctic Sky,2017,,7.0,0,0,1,0,Chris Burkard,0
6960,The Strange Woman,1946,,6.7,0,0,1,0,"Edgar G. Ulmer,Douglas Sirk",0
6961,Elephant,1989,,7.1,0,0,1,1,Gus Van Sant,0
6962,Leo's Room,2010,,6.5,0,0,1,0,Enrique Buchichio,0
6963,Only When I Laugh,1981,18.0,6.4,0,0,1,0,,0
6964,Raid on Entebbe,1976,,6.8,0,0,1,0,Irvin Kershner,0
6965,Sea Prince and the Fire Child,1981,,7.0,0,0,1,0,Masami Hata,0
6966,The Last Descent,2016,7.0,5.3,0,0,1,0,Isaac Halasima,0
6967,Electra,1962,,7.6,0,0,1,0,Dudley Nichols,0
6968,Fearless Hyena,1979,18.0,6.7,0,0,1,0,Chuan Chen,0
6969,Rendez-Vous,2015,,5.8,0,0,1,0,Antoinette Beumer,0
6970,Tashi and the Monk,2015,7.0,8.1,0,0,1,0,"Johnny Burke,Andrew Hinton",0
6971,A Little Trip to Heaven,2005,18.0,6.0,0,0,1,0,Baltasar Kormákur,0
6972,Unity,2015,13.0,7.4,0,0,1,0,Shaun Monson,0
6973,Strays,1997,18.0,5.6,0,0,1,0,Vin Diesel,0
6974,The Chaperone,2011,13.0,5.0,0,0,1,0,Michael Engler,0
6975,Monster Camp,2007,16.0,6.6,0,0,1,0,Cullen Hoback,0
6976,Cast a Deadly Spell,1991,18.0,6.5,0,0,1,0,Martin Campbell,0
6977,Until Forever,2016,,6.3,0,0,1,0,Michael Linn,0
6978,I Walk the Line,1970,13.0,6.6,0,0,1,0,John Frankenheimer,0
6979,Disco Dancer,1982,13.0,6.4,0,0,1,0,Babbar Subhash,0
6980,Savage Streets,1984,18.0,6.3,0,0,1,0,"Danny Steinmann,Tom DeSimone",0
6981,The City of Your Final Destination,2009,13.0,6.3,0,0,1,0,James Ivory,0
6982,Rhymes for Young Ghouls,2013,18.0,6.5,0,0,1,0,Jeff Barnaby,0
6983,Aya,2012,16.0,7.2,0,0,1,0,"Oded Binnun,Mihal Brezis",0
6984,The Penguin King,2012,7.0,6.7,0,0,1,0,Sias Wilson,0
6985,Copwatch,2017,,5.2,0,0,1,0,Camilla Hall,0
6986,"Bruce Lee, My Brother",2010,,6.5,0,0,1,0,"Manfred Wong,Wai-Man Yip",0
6987,Redemption Road,2011,13.0,5.7,0,0,1,0,York Alec Shackleton,0
6988,If so,2003,7.0,8.1,0,0,1,0,Rajiv Whabi,0
6989,Citizen Koch,2013,,6.6,0,0,1,0,"Carl Deal,Tia Lessin",0
6990,Why We Ride,2013,7.0,7.6,0,0,1,0,Bryan H. Carroll,0
6991,Befikre,2016,13.0,3.9,0,0,1,0,Aditya Chopra,0
6992,Ben Hur,2003,,7.0,0,0,1,0,William Wyler,0
6993,Black Ruby,2017,,7.2,0,0,1,0,"La Raza,Marius Iliescu,Zachary Laoutides,Mónica Esmeralda León",0
6994,Master,2016,,6.5,0,0,1,0,Paul Thomas Anderson,0
6995,The Last Broadcast,1998,,5.3,0,0,1,0,"Stefan Avalos,Lance Weiler",0
6996,Khiladi,1992,,7.2,0,0,1,0,"Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla",0
6997,Ovum,2015,,8.0,0,0,1,0,Luciano Blotta,0
6998,Bey Yaar,2014,7.0,8.5,0,0,1,0,Abhishek Jain,0
6999,Morlang,2001,,6.3,0,0,1,0,Tjebbo Penning,0
7000,Mourning Son,2015,,8.1,0,0,1,0,Todd Newman,0
7001,If I Were You,2013,18.0,7.0,0,0,1,0,Joan Carr-Wiggin,0
7002,The 25th Anniversary Rock and Roll Hall of Fame Concerts,2009,,8.7,0,0,1,0,Joel Gallen,0
7003,Escape from Firebase Kate,2015,,9.0,0,0,1,0,Paul Kakert,0
7004,Mom at Sixteen,2005,16.0,6.7,0,0,1,0,Peter Werner,0
7005,Project A-Ko,1986,,7.0,0,0,1,0,Katsuhiko Nishijima,0
7006,Skirt Day,2008,,6.9,0,0,1,0,Jean-Paul Lilienfeld,0
7007,Maayavan,2017,,7.3,0,0,1,0,C.V. Kumar,0
7008,Falling Angels,2003,,6.7,0,0,1,0,Scott Smith,0
7009,Don't Worry Baby,2016,18.0,5.3,0,0,1,0,Julian Branciforte,0
7010,Love Is All You Need?,2016,,6.3,0,0,1,0,Kim Rocco Shields,0
7011,The Dungeon Masters,2008,,6.0,0,0,1,0,Keven McAlester,0
7012,Who Is Cletis Tout?,2001,18.0,6.3,0,0,1,0,Chris Ver Wiel,0
7013,Annamalai,1992,,7.7,0,0,1,0,Suresh Krishna,0
7014,Air,2015,13.0,5.1,0,0,1,0,Christian Cantamessa,0
7015,The White Meadows,2009,,7.5,0,0,1,0,Mohammad Rasoulof,0
7016,Age of Heroes,2011,18.0,5.6,0,0,1,0,Adrian Vitoria,0
7017,Sidekick,2005,,5.3,0,0,1,0,Jeff Cassidy,0
7018,X/Y,2014,,4.2,0,0,1,0,Ryan Piers Williams,0
7019,The Little Traitor,2009,7.0,6.9,0,0,1,0,Lynn Roth,0
7020,Coming To My Senses,2017,,7.2,0,0,1,0,Dominic Gill,0
7021,Geronimo,1962,7.0,5.8,0,0,1,0,Walter Hill,0
7022,All Mistakes Buried,2015,,4.9,0,0,1,0,Tim McCann,0
7023,Executioners from Shaolin,1977,18.0,7.0,0,0,1,0,Chia-Liang Liu,0
7024,Molly,1999,13.0,5.8,0,0,1,0,Sally Potter,0
7025,Gehenna: Where Death Lives,2016,18.0,4.9,0,0,1,0,Hiroshi Katagiri,0
7026,As I Lay Dying,2013,18.0,5.4,0,0,1,0,James Franco,0
7027,The New Radical,2017,,6.5,0,0,1,0,Adam Bhala Lough,0
7028,The Rolling Stones: Sweet Summer Sun - Hyde Park Live,2013,,8.1,0,0,1,0,Paul Dugdale,0
7029,Furious,2017,,6.2,0,0,1,0,"Dzhanik Fayziev,Ivan Shurkhovetskiy",0
7030,Beyond the Time Barrier,1960,,5.3,0,0,1,0,Edgar G. Ulmer,0
7031,Brothers of the Wind,2015,7.0,6.8,0,0,1,0,"Gerardo Olivares,Otmar Penker",0
7032,The Freebie,2010,18.0,5.1,0,0,1,0,Katie Aselton,0
7033,The Lady Without Camelias,1953,,7.1,0,0,1,0,Michelangelo Antonioni,0
7034,Affinity,2008,,6.2,0,0,1,0,Tim Fywell,0
7035,Shortwave,2016,18.0,4.3,0,0,1,0,Ryan Gregory Phillips,0
7036,Saaransh,1984,13.0,8.2,0,0,1,0,Mahesh Bhatt,0
7037,Sherlock Holmes and the Secret Weapon,1942,,6.6,0,0,1,0,Roy William Neill,0
7038,Four Seasons Lodge,2008,,6.9,0,0,1,0,Andrew Jacobs,0
7039,Vessel,2014,,7.6,0,0,1,0,Clark Baker,0
7040,Duelle,1976,,7.3,0,0,1,0,Jacques Rivette,0
7041,Sodom and Gomorrah,1962,7.0,5.7,0,0,1,0,Robert Aldrich,0
7042,Germans & Jews,2016,,7.6,0,0,1,0,Janina Quint,0
7043,The Aryan Couple,2004,13.0,6.3,0,0,1,0,John Daly,0
7044,Jackals,2017,,5.1,0,0,1,0,Kevin Greutert,0
7045,Beacon Point,2016,,5.7,0,0,1,0,Eric Blue,0
7046,PlantPure Nation,2015,,7.5,0,0,1,0,Nelson Campbell,0
7047,And While We Were Here,2013,18.0,5.8,0,0,1,0,Kat Coiro,0
7048,After the Ball,2015,,5.9,0,0,1,0,Sean Garrity,0
7049,YellowBrickRoad,2010,18.0,4.7,0,0,1,0,"Jesse Holland,Andy Mitton",0
7050,The Falls: Testament Of Love,2013,18.0,6.5,0,0,1,0,Jon Garcia,0
7051,The Japanese Wife,2010,,7.6,0,0,1,0,Aparna Sen,0
7052,Safe House,1998,,7.0,0,0,1,0,Daniel Espinosa,0
7053,The Phoenix Incident,2015,,5.0,0,0,1,0,Keith Arem,0
7054,Black Moon Rising,1986,18.0,5.5,0,0,1,0,Harley Cokeliss,0
7055,Mithya,2008,,7.1,0,0,1,0,Rajat Kapoor,0
7056,Desert Saints,2002,18.0,6.0,0,0,1,0,Richard Greenberg,0
7057,Rage,2014,18.0,5.0,0,0,1,0,David Cronenberg,0
7058,Faith Connections,2013,,7.5,0,0,1,0,Pan Nalin,0
7059,Tarzan of the Apes,1918,,5.7,0,0,1,0,Scott Sidney,0
7060,Bank Chor,2017,7.0,5.9,0,0,1,0,Bumpy,0
7061,Jack and the Beanstalk,1952,,6.0,0,0,1,0,Gary J. Tunnicliffe,0
7062,Riders,2002,18.0,5.5,0,0,1,0,Gérard Pirès,0
7063,Gunde Jaari Gallanthayyinde,2013,7.0,7.1,0,0,1,0,Vijay Kumar Konda,0
7064,Transylvania 6-5000,1985,7.0,5.0,0,0,1,0,Rudy De Luca,0
7065,Under The Greenwood Tree,2005,,6.9,0,0,1,0,Nicholas Laughland,0
